"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149"
"5047","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5048","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5049","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5050","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5051","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5052","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5053","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5054","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5055","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5056","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5057","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5058","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5059","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5060","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5061","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5062","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5064","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5065","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5066","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5067","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5068","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5069","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5070","TUG1","JAK1","ZBTB20","FXR1","SERBP1","TUBB4B","CALD1","PRKAR2A","IFI16","PHF3","RBMS1","TCF4","BGN","KCTD12","NKTR","MCMBP","PNN","UBE2L3","CELF1","TMED10","G3BP1","SCAF11","GLG1","SRSF11","RNF130","VPS13B","BBX","KLF6","RBM5","ARIH1","SNX27","LPAR1","LIMCH1","FAM46A","DCN","ZFHX3","SF3B1","TAOK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
